label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	north1_all	80	60081	12366	7289	7261	3439	2753	3972	3479	2416	1256	1263	825	560	536	753	320	296	360	294	321	302	185	90	89	68	152	60	53	59	53	47	31	48	37	13	43	16	16	10	7	10	12	3	12	5	3	8	4	4	2	1	2	0	0	6	3	1	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	37851	6005	3472	4337	1582	1388	2432	2145	1491	699	749	455	288	282	489	141	141	197	172	194	197	102	34	42	30	76	34	22	34	26	25	11	32	25	8	28	3	6	5	4	4	12	3	5	4	2	5	3	0	1	0	1	0	0	1	2	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	60223	12398	7317	7272	3456	2711	3952	3393	2432	1322	1291	833	588	516	837	312	280	343	301	292	312	186	101	94	75	148	62	48	57	64	44	28	53	39	13	42	20	26	13	7	10	17	3	9	6	1	7	4	5	2	2	1	0	1	1	3	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	38053	5981	3436	4352	1627	1369	2445	2114	1468	751	758	454	304	271	535	146	142	176	183	169	210	98	44	48	35	70	29	18	31	34	28	15	39	28	7	32	7	9	8	2	4	16	3	2	4	1	4	3	0	2	1	0	0	1	1	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	60508	12440	7254	7421	3412	2724	3724	3444	2434	1276	1324	858	620	498	819	321	287	329	286	275	317	170	98	91	71	168	63	46	72	58	34	18	43	36	13	36	20	43	12	12	9	12	3	7	7	0	4	3	4	3	2	1	3	3	0	5	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	38363	5956	3458	4387	1608	1376	2325	2135	1477	726	772	468	324	252	523	147	142	170	164	151	212	86	46	47	35	83	32	16	40	37	19	10	30	25	8	22	8	20	8	7	3	11	1	2	4	0	2	2	0	3	1	0	2	1	0	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	60569	12458	7311	7571	3297	2726	3655	3373	2471	1261	1310	895	627	508	740	321	290	322	254	239	293	175	92	95	63	151	58	49	73	54	32	21	35	23	15	45	18	35	5	15	9	13	5	3	8	3	4	1	2	4	3	2	3	3	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	38545	5939	3479	4424	1562	1363	2277	2113	1545	728	748	492	314	267	481	143	155	169	143	124	196	108	42	44	31	87	29	20	41	33	17	19	17	13	7	29	7	19	5	9	5	11	3	2	3	2	2	0	0	4	2	1	2	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	60854	12618	7265	7671	3383	2789	3679	3294	2477	1264	1314	882	622	506	657	333	293	330	265	248	282	179	76	85	62	172	63	54	82	53	36	24	39	19	17	30	11	34	1	15	11	11	5	2	6	5	3	11	5	5	1	2	4	2	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	38869	5984	3452	4505	1585	1417	2278	2076	1617	691	741	503	311	263	436	153	153	181	138	113	192	113	33	38	36	91	36	30	53	36	20	20	18	13	7	18	3	24	1	10	6	9	2	2	0	2	0	10	3	3	1	1	3	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	59499	12486	7285	7577	3344	2717	3750	3232	2426	1289	1285	868	609	507	647	313	292	321	254	300	261	190	81	87	58	166	65	53	76	41	30	26	49	24	15	36	13	19	6	20	13	9	4	3	6	6	3	11	4	4	1	2	2	0	3	4	2	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	37875	5948	3432	4476	1533	1371	2290	2023	1561	693	736	503	320	272	419	151	156	189	125	147	180	126	34	35	32	74	36	34	49	25	15	18	23	13	6	24	5	15	2	10	9	4	3	3	2	2	0	10	3	2	1	1	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	56906	12146	7106	7488	3395	2617	3743	3062	2394	1266	1176	879	603	486	636	300	293	304	261	312	265	169	102	90	61	155	66	56	64	53	31	21	51	28	13	30	16	20	9	17	11	17	3	6	5	7	2	12	5	3	0	1	1	1	3	1	2	4	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	35857	5763	3342	4432	1531	1275	2254	1877	1504	672	670	496	305	260	379	142	147	187	151	182	184	101	46	33	33	64	34	36	42	35	19	8	29	15	6	17	7	17	4	6	8	6	2	4	2	3	0	12	3	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	53434	11714	6962	7080	3398	2497	3556	2898	2193	1242	1139	825	608	474	639	290	286	305	260	278	238	171	116	88	69	163	56	53	54	63	25	18	43	35	14	35	18	20	14	14	7	17	5	6	3	4	3	13	4	2	0	0	2	1	2	1	2	4	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	33171	5475	3135	4101	1514	1165	2114	1755	1361	666	644	439	299	250	364	140	132	184	154	170	162	98	58	33	33	75	27	33	34	41	14	5	26	21	10	22	12	13	7	5	6	6	3	4	2	1	1	13	3	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	50234	11428	6678	6820	3383	2490	3350	2882	2024	1195	1045	781	582	456	593	308	278	320	246	244	236	157	117	88	69	133	57	57	52	69	29	18	37	34	18	32	16	18	13	3	2	21	5	6	5	5	4	3	3	1	1	3	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	30480	5244	2961	3871	1547	1151	1993	1773	1243	655	587	407	276	244	325	144	118	175	144	154	155	87	65	36	35	87	27	32	28	44	15	7	23	24	11	20	13	9	7	1	0	12	3	3	4	2	3	3	1	1	0	2	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
