label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192
0.03	north1_all	80	442	2318	119	901	799	63	351	423	475	334	252	205	50	88	168	175	111	94	56	56	63	51	93	7	69	83	14	8	79	80	87	19	64	34	13	7	26	89	26	51	5	3	11	2	11	1	26	11	0	4	1	2	1	2	9	3	0	0	4	11	4	1	2	1	4	17	7	1	3	0	17	0	10	15	0	4	1	0	0	2	0	10	2	0	0	8	1	0	0	0	1	3	1	0	1	1	1	0	1	3	0	0	0	0	0	1	5	0	1	0	0	1	3	0	13	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	195	2251	46	861	757	26	304	408	462	319	241	187	32	78	161	168	100	83	51	48	61	44	91	3	64	79	9	4	79	78	82	16	60	33	12	6	21	85	26	50	5	1	8	1	11	1	26	10	0	3	1	1	0	0	7	3	0	0	4	10	3	0	1	0	4	17	7	0	3	0	17	0	10	11	0	3	0	0	0	0	0	9	2	0	0	8	1	0	0	0	1	3	1	0	1	0	1	0	1	3	0	0	0	0	0	0	5	0	1	0	0	0	3	0	13	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	420	1936	158	945	768	57	427	479	264	331	223	158	43	103	177	236	182	101	101	41	51	48	59	14	64	106	8	14	51	39	56	16	43	60	24	17	9	35	47	34	8	8	2	5	8	2	24	26	4	7	0	1	0	1	21	4	1	1	1	10	0	6	0	0	1	3	31	0	1	3	14	0	2	7	0	11	0	2	0	0	0	0	3	1	0	5	0	27	2	1	1	2	0	2	0	18	0	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	175	1857	78	914	713	32	409	465	253	325	206	145	23	94	164	232	174	94	92	24	46	38	58	7	62	103	5	9	49	34	56	14	43	59	21	13	9	33	45	34	5	4	2	2	8	1	23	26	3	3	0	1	0	0	20	4	1	0	1	8	0	6	0	0	1	3	31	0	1	3	14	0	2	7	0	9	0	1	0	0	0	0	3	1	0	5	0	27	0	0	0	2	0	2	0	18	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	429	2141	129	1022	916	60	431	454	372	363	288	142	34	117	189	199	132	110	41	50	62	84	90	14	69	72	8	18	53	73	112	28	44	35	19	24	17	24	28	38	11	2	3	3	17	3	46	11	4	3	7	5	1	1	5	3	3	3	2	6	4	3	1	3	1	15	1	0	3	0	4	0	3	0	0	2	0	2	1	1	0	2	4	0	0	6	0	6	3	1	0	11	0	0	0	5	2	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	185	2060	54	998	886	31	374	441	358	353	279	128	23	108	180	192	128	103	33	42	57	80	87	9	66	67	7	11	51	71	108	25	41	33	14	20	9	24	28	37	6	2	1	2	17	1	46	11	2	3	7	5	1	1	5	3	2	1	0	6	3	1	1	1	1	15	1	0	3	0	4	0	3	0	0	2	0	2	1	0	0	2	4	0	0	6	0	6	3	0	0	11	0	0	0	5	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	561	1865	173	932	701	77	445	465	448	267	226	220	76	155	203	166	131	115	89	59	71	88	149	10	79	63	12	13	15	64	58	56	45	69	31	24	33	40	33	55	7	9	12	1	7	3	12	24	5	9	10	8	0	1	9	4	0	3	4	4	3	2	4	3	5	6	8	1	1	13	4	1	9	0	1	14	1	4	1	0	0	2	1	6	0	17	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	1	9	0	0	0	1	0	0	0	1	1	6	0	0	1	0	0	0	1	1	0	0	2	0	0	2	0	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	277	1773	94	882	658	39	383	425	424	259	211	210	66	146	195	159	116	104	87	51	64	82	144	5	76	50	8	8	13	60	57	54	38	54	23	23	31	39	32	53	4	8	11	0	5	3	12	21	3	9	9	8	0	1	9	4	0	2	2	4	3	1	0	2	3	5	8	1	1	13	4	0	9	0	0	14	1	4	1	0	0	2	1	6	0	17	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9	0	0	0	1	0	0	0	1	1	6	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	612	1520	202	816	536	92	404	349	366	259	252	197	110	231	190	183	130	108	107	60	137	82	103	17	79	66	20	20	50	27	40	48	49	38	39	37	33	42	44	37	3	11	14	2	18	4	17	24	3	2	6	13	3	0	17	7	1	5	7	3	2	18	2	3	4	8	8	1	14	3	5	6	0	7	0	0	2	4	0	5	1	14	7	1	3	0	5	0	0	1	0	0	1	3	0	5	12	10	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	324	1412	125	750	496	55	367	332	340	238	240	186	77	220	186	179	118	103	101	48	135	75	99	13	76	64	18	16	40	24	39	46	44	36	34	34	30	33	41	34	2	11	14	2	16	1	16	24	3	0	6	12	1	0	16	6	0	5	6	3	0	13	1	3	3	8	8	0	13	3	5	6	0	1	0	0	2	4	0	2	0	14	6	0	1	0	5	0	0	1	0	0	1	3	0	4	12	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	466	2288	144	1169	810	80	418	411	349	280	273	144	46	131	196	159	112	126	87	23	64	79	142	17	56	100	11	31	40	57	53	26	38	46	11	12	28	43	18	48	8	8	6	2	9	1	25	44	1	4	2	7	3	0	6	4	0	1	3	5	7	3	4	1	0	14	4	0	1	4	15	6	3	4	4	7	1	6	1	1	0	1	0	3	0	5	4	0	0	0	0	1	0	11	0	5	0	3	1	3	0	1	0	2	0	0	0	15	13	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	208	2190	64	1128	779	46	377	398	337	265	257	135	30	117	190	155	107	118	78	16	56	71	131	13	51	96	6	28	39	54	47	23	37	43	6	8	23	42	16	48	5	3	4	1	6	1	25	43	0	4	0	6	1	0	6	1	0	0	3	5	6	2	4	0	0	14	4	0	1	4	15	6	3	4	3	5	1	6	0	0	0	1	0	3	0	5	4	0	0	0	0	1	0	11	0	5	0	3	1	3	0	0	0	2	0	0	0	15	12	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_all	80	385	2356	119	1270	805	64	283	402	437	489	349	117	35	75	219	170	131	106	68	40	55	32	123	10	63	86	8	16	77	54	74	14	61	22	13	14	17	22	22	53	4	7	6	2	11	1	9	18	1	2	4	0	0	2	8	4	1	0	1	2	4	3	1	2	0	8	2	0	2	0	0	18	0	10	2	3	0	1	0	2	0	0	0	0	0	19	0	6	2	0	0	0	0	0	0	1	19	0	0	7	0	0	1	0	8	0	6	0	0	0	0	0	5	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	178	2279	47	1231	790	24	260	387	419	469	330	104	21	68	214	169	127	97	56	29	50	28	118	5	62	83	5	10	68	53	72	9	59	20	8	10	16	22	21	50	2	2	6	0	8	0	6	18	0	2	4	0	0	1	6	2	1	0	0	1	4	1	1	0	0	8	2	0	2	0	0	17	0	10	0	2	0	1	0	0	0	0	0	0	0	19	0	6	2	0	0	0	0	0	0	1	19	0	0	7	0	0	1	0	8	0	6	0	0	0	0	0	5	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	444	2289	130	1107	939	54	334	406	522	392	378	132	34	125	175	135	214	93	61	30	69	47	128	10	58	143	9	11	90	58	65	26	66	61	6	24	13	72	28	51	7	2	12	0	4	1	61	21	0	5	3	1	0	1	2	1	1	0	3	10	8	0	1	2	3	5	24	1	8	11	8	2	9	4	5	1	0	3	1	0	0	2	7	0	0	4	0	10	0	0	0	1	0	1	0	0	2	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	216	2184	46	1042	896	27	309	390	506	361	347	116	24	108	172	131	210	82	54	27	51	45	124	4	56	140	5	11	90	48	64	24	61	60	4	22	13	72	27	51	4	2	11	0	2	0	61	21	0	5	2	1	0	0	2	0	1	0	1	9	7	0	0	2	3	5	24	0	7	11	8	2	8	4	2	0	0	3	0	0	0	1	6	0	0	4	0	10	0	0	0	1	0	1	0	0	1	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	446	2197	123	1033	834	79	385	529	273	246	347	185	52	129	215	191	223	118	68	40	76	48	113	8	74	89	9	18	60	68	57	17	36	59	13	22	13	36	46	9	12	2	3	1	2	3	8	53	5	2	6	9	2	0	7	1	0	2	2	1	1	3	2	0	4	4	0	1	1	3	1	3	3	0	0	3	3	2	1	0	0	7	0	0	0	3	0	3	0	2	1	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	197	2124	56	998	807	46	362	509	269	235	319	156	35	119	201	186	209	113	58	29	67	40	112	7	66	87	4	16	59	64	55	15	33	58	10	21	12	34	45	5	6	2	0	0	2	1	8	52	4	2	1	9	1	0	7	1	0	0	1	1	1	2	1	0	2	4	0	0	0	3	1	2	1	0	0	3	3	1	0	0	0	7	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	427	2254	121	1003	757	57	315	646	361	424	207	176	45	114	178	177	134	107	112	41	32	55	63	10	69	102	8	8	45	65	63	10	40	51	11	26	26	35	23	27	6	8	3	2	8	1	25	34	0	5	14	5	1	3	3	1	0	5	1	4	2	0	1	4	1	17	1	1	12	0	0	0	2	3	2	5	1	2	0	0	0	3	0	4	0	0	2	2	0	0	0	0	0	0	0	1	1	1	1	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	208	2155	58	952	731	20	288	638	347	404	196	159	31	93	166	172	126	91	82	22	30	51	58	4	66	101	6	4	44	58	61	9	39	50	11	23	23	34	22	27	6	4	2	1	4	1	25	34	0	2	6	5	0	0	3	0	0	3	0	4	1	0	0	2	0	17	1	0	10	0	0	0	2	3	2	5	1	2	0	0	0	3	0	4	0	0	2	2	0	0	0	0	0	0	0	1	1	1	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	632	1636	194	769	507	128	299	248	351	211	240	228	102	185	187	187	109	119	156	91	74	57	71	17	92	56	34	48	54	39	52	127	50	21	16	45	93	22	40	21	11	20	8	2	38	8	5	50	10	6	15	25	1	4	9	7	1	7	5	6	5	3	1	1	5	13	19	1	13	2	1	3	4	10	2	2	2	18	0	0	0	3	8	0	0	5	0	12	1	0	1	0	2	0	4	0	5	0	0	0	0	0	0	0	0	0	1	1	0	1	3	1	0	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north11_active	80	378	1477	115	685	474	87	276	221	330	197	227	218	79	173	172	184	102	115	152	86	70	51	68	12	81	55	29	38	51	35	43	124	48	16	15	31	92	16	36	19	10	16	6	1	32	8	3	49	8	6	15	25	1	1	8	7	0	6	3	6	5	3	0	1	4	12	19	1	13	2	1	3	4	9	2	2	2	17	0	0	0	2	8	0	0	5	0	11	1	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north12_all	80	747	1671	192	857	587	113	426	321	317	320	143	244	92	147	166	228	132	94	148	75	85	62	58	21	55	30	11	57	60	19	51	118	23	50	33	35	66	27	25	24	17	11	15	5	22	4	24	1	14	5	26	41	4	4	18	5	3	6	11	2	2	7	2	2	2	14	5	4	3	0	4	3	12	3	3	6	2	10	1	1	0	5	1	0	1	2	0	2	1	0	0	2	3	1	1	0	2	3	3	0	1	0	0	0	0	0	0	3	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	470	1540	114	792	538	67	404	301	289	309	127	225	71	143	161	219	125	89	146	61	82	51	41	15	50	21	8	49	58	18	39	115	23	45	32	34	60	25	24	23	16	8	13	3	19	3	24	1	13	5	26	41	4	4	18	3	2	6	9	1	2	7	1	0	2	13	5	4	3	0	3	3	11	2	3	6	1	10	1	0	0	4	0	0	1	2	0	2	1	0	0	2	3	1	1	0	1	3	3	0	1	0	0	0	0	0	0	3	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	693	1521	209	839	568	97	425	309	341	287	204	207	47	183	132	148	125	103	87	130	87	75	72	13	38	39	19	25	37	61	66	82	36	36	40	18	35	23	33	17	9	16	31	2	14	5	10	18	4	10	27	1	2	9	0	1	1	11	2	8	3	11	0	2	1	11	2	1	12	3	2	3	9	9	1	1	4	0	2	0	1	1	0	13	0	3	3	15	2	3	0	0	0	5	0	1	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	414	1388	116	786	524	62	392	277	306	262	191	187	40	174	122	143	115	91	76	113	85	65	67	9	36	38	8	22	36	58	62	82	34	32	36	16	33	22	31	16	4	12	28	0	13	3	10	17	4	10	27	0	0	9	0	1	1	11	1	7	2	10	0	0	0	10	2	0	12	3	0	3	9	9	0	0	0	0	1	0	1	0	0	13	0	3	1	15	2	3	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	482	2054	139	991	749	75	338	422	339	283	288	171	57	113	196	149	178	85	92	75	81	55	130	5	54	102	12	32	68	80	70	17	33	54	11	22	22	17	61	22	5	5	4	0	13	1	10	24	13	7	15	5	4	1	7	9	1	0	2	17	3	0	1	1	4	2	4	1	11	3	4	5	2	3	0	3	2	0	0	0	2	1	8	0	0	7	0	2	3	0	1	6	2	4	0	4	11	0	0	0	0	0	0	1	1	0	3	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_active	80	237	1965	61	944	710	42	294	401	316	269	281	158	38	98	189	138	174	74	86	64	76	50	129	3	50	99	7	31	56	74	69	15	31	53	8	17	15	17	58	21	4	4	1	0	12	0	5	22	11	2	15	5	2	1	7	7	0	0	1	16	2	0	0	1	4	1	4	0	7	3	3	5	2	3	0	3	1	0	0	0	1	0	7	0	0	7	0	2	3	0	0	5	2	4	0	4	11	0	0	0	0	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north15_all	80	424	2281	160	899	747	54	327	349	448	365	312	138	55	99	191	232	141	81	73	30	56	63	104	8	82	90	7	5	80	113	57	15	62	17	7	33	9	94	15	26	9	6	2	1	15	5	15	7	3	2	2	6	2	1	4	2	2	3	0	2	0	1	0	1	0	7	3	0	5	14	5	1	7	4	0	0	2	2	0	0	0	5	6	3	0	1	2	1	1	1	0	0	0	8	0	0	6	1	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	174	2167	68	857	708	26	282	334	438	359	300	122	37	83	170	224	133	67	56	27	50	58	101	4	78	89	5	3	77	110	57	14	59	15	6	25	6	93	13	24	1	3	2	0	11	3	15	5	1	1	1	6	1	1	4	1	1	2	0	2	0	0	0	1	0	7	3	0	5	14	5	1	7	4	0	0	1	2	0	0	0	5	6	3	0	0	2	1	1	0	0	0	0	8	0	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	421	2352	116	1064	896	75	348	376	427	405	225	133	32	70	192	205	170	107	60	34	56	44	74	6	99	62	10	10	44	45	15	7	42	23	11	4	29	22	85	22	2	6	7	3	8	4	25	19	6	1	5	6	2	1	11	1	2	2	0	2	2	4	0	1	0	8	7	3	4	4	7	15	0	6	0	1	0	4	0	0	0	4	3	1	0	0	0	2	1	1	1	0	0	0	0	2	5	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	184	2280	35	1034	858	47	315	361	416	389	201	114	16	66	188	200	161	95	45	30	43	39	57	4	96	58	7	6	42	44	14	4	41	22	9	4	25	21	83	20	0	4	7	1	7	1	25	19	6	1	4	3	2	1	5	1	2	1	0	2	2	2	0	0	0	8	6	1	4	4	6	14	0	6	0	0	0	3	0	0	0	4	3	0	0	0	0	2	0	0	0	0	0	0	0	2	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
